Année,Var. Temp.,Hém. Nord,Hém. Sud
1880,-0.17,-0.28,-0.05
1881,-0.09,-0.18,0.0
1882,-0.11,-0.22,-0.01
1883,-0.17,-0.28,-0.07
1884,-0.29,-0.43,-0.15
1885,-0.34,-0.44,-0.25
1886,-0.32,-0.43,-0.2
1887,-0.36,-0.44,-0.29
1888,-0.17,-0.23,-0.12
1889,-0.11,-0.18,-0.04
1890,-0.35,-0.39,-0.32
1891,-0.22,-0.26,-0.19
1892,-0.28,-0.4,-0.16
1893,-0.31,-0.47,-0.16
1894,-0.3,-0.39,-0.22
1895,-0.23,-0.3,-0.15
1896,-0.11,-0.19,-0.03
1897,-0.11,-0.16,-0.05
1898,-0.27,-0.29,-0.26
1899,-0.18,-0.21,-0.14
1900,-0.08,-0.09,-0.07
1901,-0.16,-0.13,-0.18
1902,-0.28,-0.34,-0.22
1903,-0.37,-0.38,-0.37
1904,-0.47,-0.49,-0.46
1905,-0.26,-0.29,-0.23
1906,-0.22,-0.24,-0.21
1907,-0.39,-0.47,-0.3
1908,-0.43,-0.45,-0.4
1909,-0.48,-0.5,-0.47
1910,-0.44,-0.45,-0.43
1911,-0.45,-0.42,-0.47
1912,-0.37,-0.47,-0.26
1913,-0.35,-0.42,-0.27
1914,-0.15,-0.19,-0.1
1915,-0.14,-0.14,-0.13
1916,-0.36,-0.42,-0.31
1917,-0.46,-0.57,-0.36
1918,-0.3,-0.4,-0.2
1919,-0.28,-0.35,-0.2
1920,-0.27,-0.3,-0.24
1921,-0.19,-0.11,-0.26
1922,-0.28,-0.27,-0.29
1923,-0.26,-0.22,-0.31
1924,-0.27,-0.18,-0.35
1925,-0.22,-0.14,-0.3
1926,-0.11,0.01,-0.21
1927,-0.22,-0.14,-0.29
1928,-0.2,-0.11,-0.29
1929,-0.36,-0.34,-0.38
1930,-0.16,-0.01,-0.29
1931,-0.09,0.05,-0.21
1932,-0.16,-0.05,-0.25
1933,-0.28,-0.25,-0.32
1934,-0.12,0.0,-0.25
1935,-0.2,-0.09,-0.3
1936,-0.15,-0.03,-0.26
1937,-0.03,0.12,-0.17
1938,0.0,0.16,-0.18
1939,-0.02,0.09,-0.13
1940,0.13,0.18,0.09
1941,0.19,0.23,0.17
1942,0.07,0.13,0.01
1943,0.09,0.18,-0.01
1944,0.21,0.28,0.14
1945,0.09,0.11,0.09
1946,-0.07,0.03,-0.17
1947,-0.03,0.08,-0.13
1948,-0.1,-0.01,-0.19
1949,-0.11,-0.03,-0.19
1950,-0.17,-0.15,-0.21
1951,-0.07,0.05,-0.18
1952,0.01,0.06,-0.04
1953,0.08,0.24,-0.08
1954,-0.13,-0.02,-0.26
1955,-0.14,-0.09,-0.2
1956,-0.19,-0.23,-0.16
1957,0.05,0.04,0.05
1958,0.06,0.15,-0.03
1959,0.03,0.13,-0.06
1960,-0.03,0.08,-0.13
1961,0.06,0.08,0.03
1962,0.03,0.13,-0.07
1963,0.05,0.14,-0.03
1964,-0.2,-0.19,-0.2
1965,-0.11,-0.14,-0.07
1966,-0.06,-0.02,-0.09
1967,-0.02,0.03,-0.08
1968,-0.08,-0.07,-0.09
1969,0.05,-0.03,0.15
1970,0.03,-0.04,0.09
1971,-0.08,-0.15,-0.02
1972,0.01,-0.18,0.2
1973,0.16,0.09,0.23
1974,-0.07,-0.18,0.03
1975,-0.01,-0.06,0.02
1976,-0.1,-0.21,0.01
1977,0.18,0.12,0.24
1978,0.07,0.02,0.11
1979,0.16,0.08,0.25
1980,0.26,0.17,0.35
1981,0.32,0.37,0.27
1982,0.14,0.05,0.23
1983,0.31,0.25,0.38
1984,0.16,0.04,0.28
1985,0.12,0.0,0.24
1986,0.18,0.13,0.23
1987,0.32,0.25,0.41
1988,0.39,0.37,0.41
1989,0.27,0.27,0.27
1990,0.45,0.53,0.37
1991,0.41,0.41,0.4
1992,0.22,0.14,0.31
1993,0.23,0.19,0.28
1994,0.31,0.37,0.26
1995,0.45,0.58,0.32
1996,0.33,0.26,0.4
1997,0.47,0.52,0.42
1998,0.61,0.71,0.51
1999,0.38,0.48,0.28
2000,0.39,0.5,0.29
2001,0.53,0.64,0.43
2002,0.63,0.71,0.54
2003,0.62,0.75,0.49
2004,0.53,0.66,0.41
2005,0.68,0.86,0.5
2006,0.64,0.82,0.46
2007,0.66,0.85,0.47
2008,0.54,0.68,0.41
2009,0.66,0.72,0.59
2010,0.73,0.9,0.55
2011,0.61,0.74,0.47
2012,0.65,0.81,0.49
2013,0.68,0.8,0.55
2014,0.75,0.92,0.58
2015,0.9,1.18,0.63
2016,1.02,1.31,0.73
2017,0.93,1.18,0.67
2018,0.85,1.04,0.66
2019,0.98,1.21,0.75
2020,1.02,1.35,0.68
2021,0.85,1.15,0.56
2022,0.9,1.16,0.62
2023,1.17,1.5,0.85
