Année,PIB (Md)
1820,1404.0
1821,1418.8
1822,1433.6
1823,1448.4
1824,1463.2
1825,1478.0
1826,1492.8
1827,1507.6
1828,1522.4
1829,1537.2
1830,1552.0
1831,1566.8
1832,1581.6
1833,1596.4
1834,1611.2
1835,1626.0
1836,1640.8
1837,1655.6
1838,1670.4
1839,1685.2
1840,1700.0
1841,1714.8
1842,1729.6
1843,1744.4
1844,1759.2
1845,1774.0
1846,1788.8
1847,1803.6
1848,1818.4
1849,1833.2
1850,1848.0
1851,1872.9
1852,1897.8
1853,1922.7
1854,1947.6
1855,1972.5
1856,1997.4
1857,2022.3
1858,2047.2
1859,2072.1
1860,2097.0
1861,2121.9
1862,2146.8
1863,2171.7
1864,2196.6
1865,2221.5
1866,2246.4
1867,2271.3
1868,2296.2
1869,2321.1
1870,2346.0
1871,2407.4
1872,2468.8
1873,2530.2
1874,2591.6
1875,2653.0
1876,2714.4
1877,2775.8
1878,2837.2
1879,2898.6
1880,2960.0
1881,3021.4
1882,3082.8
1883,3144.2
1884,3205.6
1885,3267.0
1886,3328.4
1887,3389.8
1888,3451.2
1889,3512.6
1890,3574.0
1891,3635.3999999999996
1892,3696.8
1893,3758.2
1894,3819.6
1895,3881.0
1896,3942.3999999999996
1897,4003.8
1898,4065.2
1899,4126.6
1900,4188.0
1901,4266.95
1902,4345.9
1903,4424.85
1904,4503.8
1905,4582.75
1906,4661.7
1907,4740.65
1908,4819.6
1909,4898.55
1910,4977.5
1911,5056.45
1912,5135.4
1913,5214.35
1914,5293.3
1915,5372.25
1916,5451.2
1917,5530.15
1918,5609.1
1919,5688.05
1920,5767.0
1921,5935.65
1922,6104.3
1923,6272.95
1924,6441.6
1925,6610.25
1926,6778.9
1927,6947.55
1928,7116.2
1929,7284.85
1930,7453.5
1931,7622.15
1932,7790.8
1933,7959.450000000001
1934,8128.1
1935,8296.75
1936,8465.4
1937,8634.05
1938,8802.7
1939,8971.35
1940,9140.0
1941,9237.4
1942,9334.8
1943,9432.2
1944,9529.6
1945,9627.0
1946,9724.4
1947,9821.8
1948,9919.2
1949,10016.6
1950,10114.0
1951,10696.9
1952,11279.8
1953,11862.7
1954,12445.6
1955,13028.5
1956,13611.4
1957,14194.3
1958,14777.2
1959,15360.099999999999
1960,15943.0
1961,16971.5
1962,18000.0
1963,19028.5
1964,20057.0
1965,21085.5
1966,22114.0
1967,23142.5
1968,24171.0
1969,25199.5
1970,26228.0
1971,27428.3
1972,28628.6
1973,29828.9
1974,31029.2
1975,32229.5
1976,33429.8
1977,34630.1
1978,35830.4
1979,37030.7
1980,38231.0
1981,39552.0
1982,40873.0
1983,42194.0
1984,43515.0
1985,44836.0
1986,46157.0
1987,47478.0
1988,48799.0
1989,50120.0
1990,51441.0
1991,52114.0
1992,52945.0
1993,53832.0
1994,55357.0
1995,57087.0
1996,59237.0
1997,61557.0
1998,63106.0
1999,65330.0
2000,68437.0
2001,70024.0
2002,71903.0
2003,74554.0
2004,78333.0
2005,81878.0
2006,86054.0
2007,90450.0
2008,92899.0
2009,92208.0
2010,96879.0
2011,100612.0
2012,103806.0
2013,107140.0
2014,110775.0
2015,114471.0
2016,118180.0
2017,122635.0
2018,127074.0
2019,130661.0
2020,126791.0
2021,134821.0
2022,139357.0
