Année,Population (m),Total CO2 (mT)
1880,1416.0,4227.557
1881,1424.0,4223.011
1882,1434.0,4338.779
1883,1444.0,4468.314
1884,1455.0,4487.73
1885,1465.0,4489.396
1886,1476.0,4553.248
1887,1487.0,4662.31
1888,1498.0,4787.32
1889,1509.0,4779.677
1890,1522.0,5149.284
1891,1531.0,5317.637
1892,1541.0,5370.761
1893,1551.0,5431.018
1894,1561.0,5514.442
1895,1571.0,5638.879
1896,1582.0,5730.021
1897,1592.0,5816.969
1898,1603.0,5936.182
1899,1614.0,6152.229
1900,1628.0,6329.529
1901,1639.0,6434.71
1902,1652.0,6553.995
1903,1666.0,6750.158
1904,1680.0,6863.032
1905,1694.0,7025.284
1906,1708.0,7158.701
1907,1723.0,7554.789
1908,1738.0,7481.688
1909,1752.0,7636.352
1910,1768.0,7676.793
1911,1779.0,7687.947
1912,1791.0,7785.76
1913,1803.0,8044.91
1914,1815.0,7716.73
1915,1827.0,7625.049
1916,1840.0,7828.739
1917,1852.0,7968.798
1918,1865.0,7948.688
1919,1879.0,7442.319
1920,1896.0,8129.836
1921,1909.0,7821.921
1922,1925.0,8034.376
1923,1942.0,8464.214
1924,1959.0,8494.181
1925,1976.0,8601.766
1926,1994.0,8519.336
1927,2012.0,8862.959
1928,2030.0,8853.838
1929,2049.0,9159.99
1930,2071.0,8902.55
1931,2088.0,8555.204
1932,2109.0,8265.093
1933,2131.0,8453.849
1934,2153.0,8795.633
1935,2175.0,8979.292
1936,2198.0,9375.813
1937,2221.0,9650.635
1938,2244.0,9410.575
1939,2266.0,9657.547
1940,2291.0,10203.323
1941,2308.0,10485.464
1942,2327.0,10509.654
1943,2345.0,10580.636
1944,2362.0,10657.57
1945,2380.0,9762.553
1946,2398.0,10135.869
1947,2417.0,10589.338
1948,2437.0,10793.544
1949,2463.0,10497.641
1950,2499.0,11996.413
1951,2543.0,12544.241
1952,2590.0,12772.289
1953,2640.0,13068.064
1954,2692.0,13361.748
1955,2746.0,14237.283
1956,2801.0,14918.578
1957,2858.0,15358.505
1958,2916.0,15799.009
1959,2970.0,16627.936
1960,3019.0,16217.596
1961,3068.0,15963.722
1962,3127.0,15820.577
1963,3196.0,16143.311
1964,3267.0,16558.707
1965,3337.0,16515.244
1966,3406.0,16896.252
1967,3475.0,17406.977
1968,3547.0,18136.688
1969,3621.0,18672.369
1970,3695.0,20012.344
1971,3770.0,20322.107
1972,3845.0,21045.666
1973,3920.0,21778.793
1974,3996.0,21573.541
1975,4069.0,21662.783
1976,4143.0,22576.064
1977,4216.0,23085.875
1978,4290.0,23520.393
1979,4366.0,23832.625
1980,4444.0,23888.951
1981,4525.0,23671.865
1982,4608.0,23542.031
1983,4692.0,24145.582
1984,4776.0,25608.676
1985,4862.0,25809.438
1986,4950.0,26300.332
1987,5041.0,26760.348
1988,5132.0,27376.078
1989,5224.0,27619.82
1990,5316.0,27919.6
1991,5406.0,28176.01
1992,5493.0,27790.303
1993,5577.0,27927.412
1994,5661.0,28811.207
1995,5743.0,29163.975
1996,5825.0,30247.469
1997,5906.0,31876.947
1998,5987.0,30496.076
1999,6068.0,30837.498
2000,6149.0,30876.949
2001,6231.0,30711.1
2002,6312.0,31633.465
2003,6394.0,33482.188
2004,6476.0,34014.004
2005,6558.0,34484.008
2006,6641.0,35840.477
2007,6726.0,36055.773
2008,6812.0,36782.691
2009,6898.0,36729.414
2010,6986.0,38483.84
2011,7073.0,39654.469
2012,7162.0,40280.641
2013,7251.0,40091.25
2014,7339.0,40680.48
2015,7427.0,41093.473
2016,7513.0,40059.02
2017,7600.0,40590.441
2018,7684.0,41052.09
2019,7765.0,41637.617
2020,7841.0,39302.922
2021,7909.0,41138.121
2022,7975.0,41459.738
