Année,Population (m),Ciment,Charbon,Torchage,Gaz,Usage des sols,Pétrole,Industrie,Total CO2 (mT)
1880,1416.0,0.0,838.524,,,3373.64,15.392,,4227.557
1881,1424.0,0.0,866.278,,,3339.467,17.266,,4223.011
1882,1434.0,0.0,914.231,,0.165,3405.419,18.964,,4338.779
1883,1444.0,0.0,975.842,,0.381,3475.561,16.53,,4468.314
1884,1455.0,0.0,984.619,,1.172,3483.597,18.342,,4487.73
1885,1465.0,0.0,988.945,,3.715,3477.759,18.976,,4489.396
1886,1476.0,0.0,997.9,,7.676,3525.83,21.841,,4553.248
1887,1487.0,0.001,1043.464,,11.787,3583.563,23.495,,4662.31
1888,1498.0,0.001,1152.984,,16.774,3592.968,24.594,,4787.32
1889,1509.0,0.001,1153.973,,12.227,3585.053,28.424,,4779.677
1890,1522.0,0.001,1254.006,,11.688,3848.922,34.667,,5149.284
1891,1531.0,0.001,1311.956,,8.947,3955.886,40.846,,5317.637
1892,1541.0,0.001,1324.399,,7.775,3998.364,40.222,,5370.761
1893,1551.0,0.001,1305.624,,7.288,4075.54,42.565,,5431.018
1894,1561.0,0.001,1354.596,,6.698,4111.423,41.724,,5514.442
1895,1571.0,0.001,1431.833,,7.042,4151.446,48.557,,5638.879
1896,1582.0,0.001,1476.926,,6.848,4193.656,52.591,,5730.021
1897,1592.0,0.001,1546.389,,7.288,4207.737,55.554,,5816.969
1898,1603.0,0.001,1631.507,,8.46,4239.016,57.198,,5936.182
1899,1614.0,0.001,1782.736,,10.904,4298.519,60.068,,6152.229
1900,1628.0,0.001,1873.319,,11.542,4377.319,67.347,,6329.529
1901,1639.0,0.002,1929.101,,12.861,4417.965,74.781,,6434.71
1902,1652.0,0.002,1973.146,,13.696,4486.312,80.84,,6553.995
1903,1666.0,0.003,2153.965,,14.528,4496.058,85.605,,6750.158
1904,1680.0,0.003,2166.616,,15.165,4583.285,96.13,1.834,6863.032
1905,1694.0,0.004,2311.083,,17.17,4597.966,97.082,1.98,7025.284
1906,1708.0,0.004,2415.614,,19.027,4623.968,97.96,2.127,7158.701
1907,1723.0,0.005,2746.872,,19.877,4666.47,119.51,2.054,7554.789
1908,1738.0,0.115,2625.935,,19.676,4705.248,128.881,1.834,7481.688
1909,1752.0,0.116,2730.045,,23.523,4745.857,134.464,2.347,7636.352
1910,1768.0,0.135,2862.503,,24.915,4642.703,144.189,2.347,7676.793
1911,1779.0,0.148,2898.434,,25.718,4608.445,152.928,2.274,7687.947
1912,1791.0,0.177,3047.815,,28.315,4549.796,157.309,2.347,7785.76
1913,1803.0,0.203,3291.915,,29.598,4538.634,182.14,2.421,8044.91
1914,1815.0,0.147,2961.656,,30.136,4536.374,186.143,2.274,7716.73
1915,1827.0,0.16,2902.744,,31.866,4490.195,197.664,2.421,7625.049
1916,1840.0,0.181,3129.284,,38.377,4442.88,215.302,2.714,7828.739
1917,1852.0,0.148,3257.807,,40.509,4428.372,239.469,2.494,7968.798
1918,1865.0,0.12,3209.438,,36.519,4455.424,245.061,2.127,7948.688
1919,1879.0,0.125,2715.307,,37.948,4413.312,273.426,2.201,7442.319
1920,1896.0,0.149,3125.913,,41.685,4608.409,351.333,2.347,8129.836
1921,1909.0,0.13,2668.378,,34.992,4731.824,384.909,1.687,7821.921
1922,1925.0,0.193,2770.647,,40.107,4794.063,426.946,2.421,8034.376
1923,1942.0,0.208,3146.399,,52.526,4787.981,474.386,2.714,8464.214
1924,1959.0,0.216,3152.611,,59.709,4806.96,471.969,2.714,8494.181
1925,1976.0,14.429,3151.386,,63.923,4874.732,494.216,3.081,8601.766
1926,1994.0,14.74,3081.691,,69.146,4858.306,492.446,3.007,8519.336
1927,2012.0,15.448,3361.453,,76.019,4866.83,540.275,2.934,8862.959
1928,2030.0,35.583,3305.244,,82.625,4875.075,552.377,2.934,8853.838
1929,2049.0,36.873,3522.153,,102.896,4889.083,606.125,2.861,9159.99
1930,2071.0,35.561,3213.992,,104.225,4963.951,582.546,2.274,8902.55
1931,2088.0,30.894,2830.445,,92.889,5035.301,563.841,1.834,8555.204
1932,2109.0,24.694,2519.801,,88.222,5091.616,539.439,1.32,8265.093
1933,2131.0,23.839,2635.444,,90.923,5112.33,589.772,1.54,8453.849
1934,2153.0,28.514,2877.993,,101.959,5161.391,624.161,1.614,8795.633
