Année,Var. Temp.,PIB (Md),Population (m),Total CO2 (mT)
1880,-0.17,2960.0,1416.0,4227.557
1881,-0.09,3021.4,1424.0,4223.011
1882,-0.11,3082.8,1434.0,4338.779
1883,-0.17,3144.2,1444.0,4468.314
1884,-0.29,3205.6,1455.0,4487.73
1885,-0.34,3267.0,1465.0,4489.396
1886,-0.32,3328.4,1476.0,4553.248
1887,-0.36,3389.8,1487.0,4662.31
1888,-0.17,3451.2,1498.0,4787.32
1889,-0.11,3512.6,1509.0,4779.677
1890,-0.35,3574.0,1522.0,5149.284
1891,-0.22,3635.3999999999996,1531.0,5317.637
1892,-0.28,3696.8,1541.0,5370.761
1893,-0.31,3758.2,1551.0,5431.018
1894,-0.3,3819.6,1561.0,5514.442
1895,-0.23,3881.0,1571.0,5638.879
1896,-0.11,3942.3999999999996,1582.0,5730.021
1897,-0.11,4003.8,1592.0,5816.969
1898,-0.27,4065.2,1603.0,5936.182
1899,-0.18,4126.6,1614.0,6152.229
1900,-0.08,4188.0,1628.0,6329.529
1901,-0.16,4266.95,1639.0,6434.71
1902,-0.28,4345.9,1652.0,6553.995
1903,-0.37,4424.85,1666.0,6750.158
1904,-0.47,4503.8,1680.0,6863.032
1905,-0.26,4582.75,1694.0,7025.284
1906,-0.22,4661.7,1708.0,7158.701
1907,-0.39,4740.65,1723.0,7554.789
1908,-0.43,4819.6,1738.0,7481.688
1909,-0.48,4898.55,1752.0,7636.352
1910,-0.44,4977.5,1768.0,7676.793
1911,-0.45,5056.45,1779.0,7687.947
1912,-0.37,5135.4,1791.0,7785.76
1913,-0.35,5214.35,1803.0,8044.91
1914,-0.15,5293.3,1815.0,7716.73
1915,-0.14,5372.25,1827.0,7625.049
1916,-0.36,5451.2,1840.0,7828.739
1917,-0.46,5530.15,1852.0,7968.798
1918,-0.3,5609.1,1865.0,7948.688
1919,-0.28,5688.05,1879.0,7442.319
1920,-0.27,5767.0,1896.0,8129.836
1921,-0.19,5935.65,1909.0,7821.921
1922,-0.28,6104.3,1925.0,8034.376
1923,-0.26,6272.95,1942.0,8464.214
1924,-0.27,6441.6,1959.0,8494.181
1925,-0.22,6610.25,1976.0,8601.766
1926,-0.11,6778.9,1994.0,8519.336
1927,-0.22,6947.55,2012.0,8862.959
1928,-0.2,7116.2,2030.0,8853.838
1929,-0.36,7284.85,2049.0,9159.99
1930,-0.16,7453.5,2071.0,8902.55
1931,-0.09,7622.15,2088.0,8555.204
1932,-0.16,7790.8,2109.0,8265.093
1933,-0.28,7959.450000000001,2131.0,8453.849
1934,-0.12,8128.1,2153.0,8795.633
1935,-0.2,8296.75,2175.0,8979.292
1936,-0.15,8465.4,2198.0,9375.813
1937,-0.03,8634.05,2221.0,9650.635
1938,0.0,8802.7,2244.0,9410.575
1939,-0.02,8971.35,2266.0,9657.547
1940,0.13,9140.0,2291.0,10203.323
1941,0.19,9237.4,2308.0,10485.464
